statement,source,veracity,date,lemmas
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,0,2018-06-26,burka clad woman run baby away crime stunning reason
"""NASA announced that it communicated with four races of aliens.""",Bloggers,0,2018-06-25,nasa announce communicate race alien
"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,0,2018-06-25,mexico next president invasion us
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,1,2018-06-25,migrant mother cry girl time cover separate
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,0,2018-06-25,republican gubernatorial candidate adam laxalt try cut deal big pharma lawsuit
"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",Bloggers,0,2018-06-25,obama administration illegal mexican kid detention camp experiment
"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,0,2018-06-25,fact kid detain obama care
"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,0,2018-06-25,billion bruce rauner waste budget crisis
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",Tammy Baldwin,1,2018-06-22,donald trump executive order address child separate parent change fact jail child family
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,0,2018-06-22,chinese proverb interrupt
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,1,2018-06-22,office enact billion cumulative tax relief
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,0,2018-06-21,bill clinton pass law separate child adult illegally enter america
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,0,2018-06-21,bust obama hold secret meeting overtake white house
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,1,2018-06-21,percent increase asylum claim year
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,1,2018-06-21,emanuel cps understaffed school district illinois
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,1,2018-06-20,may mark straight month global temperature exceed century average
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,0,2018-06-20,state voter id law zero decrease participation most increase
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,0,2018-06-20,tim kaine approve applaud son participation know terrorist organization antifa
"""39% of All California Students are illegals.""",Viral image,0,2018-07-05,california student illegal
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,0,2018-07-05,more birth california illegal medi cal
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,0,2018-07-05,law democrats superintendent public instruction ability fail school current superintendent fail
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,0,2018-07-05,bill nelson vote high taxis time
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,0,2018-07-03,kamala harris support animal
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,1,2018-07-03,ronald reagan immigrant bring courage value family work freedom let pledge america great
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,0,2018-07-03,democratic senators demand supreme court nominee unduly influence constitution
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,0,2018-07-03,tim kaine want border want rid immigration customs enforcement basically border patrol
"""George H.W. Bush has died at 94.""",Bloggers,0,2018-07-02,george bush die
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,0,2018-07-02,deficit come come rapidly
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,0,2018-07-02,watch gdp number start low number right hit percent think possible
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,0,2018-07-02,european union send mercedes send million bmws car million
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,0,2018-07-02,clinton campaign official arrest fbi child rape trafficking charge
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,0,2018-07-02,court find percent file asylum qualified merit relief
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,0,2018-07-02,progressive income tax proposal democratic governor candidate pritzker wholly regressive
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,0,2018-06-29,wisconsin win republican dwight eisenhower i win wisconsin ronald reagan remember wisconsin state ronald reagan win
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,0,2018-06-29,maxine waters getting criminally charge
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,0,2018-06-29,ron desantis vote agricultural bill food stamp illegal immigrant
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,1,2018-06-29,adam putnam endorse schumer obama gang immigration amnesty
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,0,2017-12-14,donald trump apologize comment catch tape access hollywood
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,0,2017-12-14,candidate control madigan answer problem massive income tax hike
"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,1,2017-12-13,missouri fema case pende flood occur
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,0,2017-12-13,update van illegal catch vote multiple alabama polling location
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,0,2017-12-13,trump new tax plan americans nickel tax cut
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",Nancy  Pelosi,0,2017-12-12,control house senate white house republicans fail deliver promise high wage work family
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,0,2017-12-12,breaking trump fire deputy attorney general rod rosenstein raise question mueller fate
"A Colgate toothpaste is subject to ""recall.""",Shared This,0,2017-12-12,colgate toothpaste subject recall
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,0,2017-12-11,facebook pick alabama senate race shut gateway pundit breitbart report discredited allred accuser
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,0,2017-12-11,obama deadly cover explosion kill miner uncover internal government document
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,0,2017-12-11,black homeownership hit high level history country
"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,0,2017-12-11,roy moore accuser arrest charge falsification
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,0,2017-12-11,breaking woman offer big money washington post accuse roy moore misconduct
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,0,2017-12-11,russian president vladimir putin stand ovation duma speech muslims country wo russia
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,0,2017-12-11,i release way tax information bruce rauner
"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,0,2017-12-08,fbi america secret police like old kgb
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,0,2017-12-08,early year hurricane harvey leave million people texas louisiana home
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,0,2017-12-08,gloria allred accuser admits tamper roy moore yearbook signature
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,0,2018-06-21,bill clinton pass law separate child adult illegally enter america
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,0,2018-06-21,bust obama hold secret meeting overtake white house
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,1,2018-06-21,percent increase asylum claim year
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,1,2018-06-21,emanuel cps understaffed school district illinois
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,1,2018-06-20,may mark straight month global temperature exceed century average
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,0,2018-06-20,state voter id law zero decrease participation most increase
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,0,2018-06-20,tim kaine approve applaud son participation know terrorist organization antifa
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,0,2018-06-20,i condemn white supremacist bigot like
"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,0,2018-06-20,pope world wide gun confiscation un
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,0,2018-06-19,trump administration policy separate family way barack obama
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",Ted Cruz,0,2018-06-18,actually court order prevent kid parent parent jail
"""Crime in Germany is way up.""",Donald Trump,0,2018-06-18,crime germany way
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,0,2018-06-18,senate report admit clinton gifted child human trafficker
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,1,2018-06-18,trump approval rating obama reagan point presidency
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,0,2018-06-18,massive flood lead legionnaires disease outbreak quincy veterans home
"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,1,2018-01-17,county new york state unemployment county new york city
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,1,2018-01-17,graduation rate new york city increase percent year
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,0,2018-01-17,indictment issue russian bribery case tie obama era uranium deal
"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,1,2018-01-17,conservative group spend million tammy baldwin time democratic senate incumbent election combined
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,0,2018-01-16,oprah tell fox news host white people die
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,0,2018-01-12,half vehicle steal texas year key leave inside
"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,0,2018-01-12,obama administration sell locate fine embassy london build new location billion dollar
"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,1,2018-01-12,atlanta strong financial footing year
"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,1,2018-01-12,scott walker wisconsin time spend prison system university wisconsin system
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,1,2018-01-11,white house staff risk violate federal ethic rule participate donald trump fake news award
"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,0,2018-01-10,gerrymander definition common understanding strange look monster drawing map clearly
"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",Julián Castro,1,2018-01-10,recent analysis percent deferred action childhood arrivals daca recipient employ school serve military
"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",Donald Trump,0,2018-01-09,president barack obama sign executive order daca actually right
"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",Lou Barletta,0,2017-12-06,gdp boom let spread prosperity middle class big taxcuts taxreform package double standard deduction bring home reduce rate taxpayer maga
"Wisconsin's Lincoln Hills youth prison has a ""66 percent recidivism rate,"" while ""states like Missouri, that have more of a regional model -- 8 percent.""",Gordon Hintz,0,2017-12-06,wisconsin lincoln hills youth prison percent recidivism rate state like missouri regional model percent
"""Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",Tom Luce,0,2017-12-05,percent current graduate texas high school ahead achieve national certificate community college degree college degree
"""Breaking: federal judge grants permission to subpoena Trump.""",news.groopspeak.com,0,2017-12-05,breaking federal judge grant permission subpoena trump
"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",PuppetStringNews.com,0,2017-12-05,tennessee gop twitter tweet expose pelosi involve pedophilia
"""Hillary Clinton lied many times to the FBI.""",Donald Trump,0,2017-12-05,hillary clinton lie time fbi
"""The violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",Jeff Sessions,1,2017-12-04,violent crime rate rise homicide rate rise percent year year decline violent crime
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,Daniel Biss,1,2017-12-04,guy pretty live standard fall dismally short standard romney release tax return
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",Eddie Rodriguez,0,2017-12-02,perpetrator domestic violence account mass shooting accord advocacy group everytown gun safety
"""Simply being in this country without documentation is not a crime""",Kathy Sheehan,1,2017-12-01,simply country documentation crime
"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,Nova magazine,0,2017-12-01,prince harry donald trump welcome wedding trump threat human right
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",Donald Trump,0,2017-11-30,tax bill cost i fortune thing believe i believe i good i
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",Donald Trump,0,2017-11-30,year able tax cut year reagan
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",Tim Scott,0,2017-11-29,pay income taxis money republican tax plan
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,0,2017-11-29,saudi arabia behead school girl male friends parents guardian
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",religionmind.com,0,2017-11-29,saudi arabia behead school girl male friends parents guardian
"Singer Tina Turner: ""This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.""",dailynewsforamericans.com,0,2017-11-29,singer tina turner thanksgiving first time year i thankful president god bless supporters
"Says Joe Scarborough is party to an ""unsolved mystery"" from his time as a congressman in Florida.",Donald Trump,0,2017-11-29,joe scarborough party unsolved mystery time congressman florida
"Wisconsin has ""the fastest-shrinking middle class in the country.""",Mahlon Mitchell,0,2017-11-29,wisconsin fast shrink middle class country
"Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",Donald Trump,0,2017-11-28,alabama senate candidate doug jones want raise taxis
"""Melania Trump: 'If ISIS Lays a finger on Barron, I’ll scratch Obama’s eyes out.' """,YourNewsWire.com,0,2017-11-28,melania trump isis lay finger barron i scratch obama eye
"Among states, Missouri ranks ""3rd (in) average yearly growth of high-tech industries.""",Missouri Department of Economic Development,1,2017-11-27,state missouri rank average yearly growth high tech industry
"""President Trump just saved Christmas for 13 million retirees.""",Reaganwasright,0,2017-11-27,president trump save christmas million retiree
"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",soutwest-air.com,0,2017-11-27,southwest airlines celebrate anniversary provide free ticket
"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",Ann Wagner,0,2017-11-24,satanists team aclu planned parenthood missouri roll right unborn
"Says Josh Hawley ""broke his promise to create a Public Corruption Unit to crack down on the pay-to-play culture of Jefferson City.""",Claire McCaskill,0,2017-11-24,josh hawley break promise create public corruption unit crack pay play culture jefferson city
"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",Wisconsin Department of Transportation,1,2017-11-24,wisconsin driver license identification id card currently secure nation
"The North Carolina bathroom bill ""was really never repealed.""",Pat McCrory,0,2017-11-22,north carolina bathroom bill repeal
"""Pope Francis at Mass: ‘Jesus is Metaphorical, Not Literal.""",YourNewsWire.com,0,2017-11-22,pope francis mass jesus metaphorical literal
"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",Pipo News,0,2017-11-21,civil war erupt sweden irate swede burn muslim refugee center ground
"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",Freshmedianews.com,0,2017-11-21,large bust history muslims arrest michigan
"Says Doug Jones ""is for full-term abortion.""",Kayla Moore,0,2017-11-21,doug jones term abortion
"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",Brian Higgins,0,2017-11-20,elimination income sale taxis new york equal percent taxable income mean year lose
"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",world-newss.com,0,2017-11-20,million round ammo miss obama turn enemy hand
"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",AmericanNews.com,0,2017-11-20,busted nasa accidentally destroy climate change advocate expose massive truth antarctica
"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",Nick Schroer,1,2017-11-18,fbi uniform crime report time people stab death kill rifle kind
"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",Roger Falk,0,2017-11-17,austin school district enjoy high student funding large texas district forward tax revenue state
"""Bump stocks are already illegal in the state of New York. You can't buy one.""",Andrew Cuomo,0,2017-11-17,bump stock illegal state new york buy
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",John Thune,1,2017-11-17,percent individual mandate tax fall year
"Iran’s regime ""every Friday declares war on us.""",Sebastian Gorka,0,2017-11-16,iran regime friday declare war
"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",Greg Abbott,0,2017-11-16,texas unemployment rate low year texas lead nation month new job creation
Bowe Bergdahl wanders off during court-martial,Duffel Blog,0,2017-11-16,bowe bergdahl wander court martial
"Californians pay ""the highest electricity bills"" in the nation.",John Cox,0,2017-11-16,californians pay high electricity bill nation
"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",Steve Bannon,0,2017-11-15,chuck todd roy moore story feel completely orchestrate
"BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",Reaganwasright,0,2017-11-15,breaking rosa parks granddaughter slam racist democrats endorse trump
Donna Brazile knows Seth Rich was murdered by the Clintons,US Political,0,2017-11-15,donna brazile know seth rich murder clintons
"Says a Washington Post reporter is ""calling to find out if anyone at this address is a female between the ages of 54 to 57 years old willing to make damaging remarks about candidate Roy Moore"" for up to $7,000.",Anonymous Caller,0,2017-11-15,washington post reporter find address female age year old willing damaging remark candidate roy moore
"""When we came into office, we saw that Missouri had 113,000 regulations. That’s more than 7.5 million words; it’s 40 dictionaries worth of regulations.""",Eric  Greitens,1,2017-11-15,come office missouri regulation million word dictionary worth regulation
"""Breaking! Roy Moore’s accuser worked for Democratic leaders and is actively campaigning for Moore’s opponent.""",Activist Mommy,0,2017-11-15,breaking roy moore accuser work democratic leader actively campaign moore opponent
"""There are ‘sore loser’ laws that would bar Luther Strange from pursuing a seat"" because he already lost the Alabama Republican Senate runoff to Roy Moore.",Amanda Carpenter,0,2017-11-14,sore loser law bar luther strange pursue seat lose alabama republican senate runoff roy moore
"Says a Washington Post reporter who broke news on Judge Roy Moore story has a criminal history of ""faking.""",Bloggers,0,2017-11-14,washington post reporter break news judge roy moore story criminal history fake
"""Second Roy Moore Accuser Works For Michelle Obama Right NOW""",TheLastLineOfDefense.org,0,2017-11-14,second roy moore accuser work michelle obama right
"""Hispanic entrepreneurs, those who have immigrated from Spanish-speaking countries, often start three times as many businesses as white males.""",Chris King,1,2017-11-14,hispanic entrepreneur immigrate spanish speak country start time business white male
"The Republican tax bill is ""not being scored by the Congressional Budget Office, as it is traditionally.""",Richard Durbin,0,2017-11-13,republican tax bill score congressional budget office traditionally
"""Snapchat is shutting down!'",Bloggers,0,2017-11-13,snapchat shut
"""Many firearms experts determined the Las Vegas shooter’s use of a bump stock actually prevented more casualties and (injuries) due to its inconsistency, inaccuracy, and lack of control.""",Michael Williams,0,2017-11-13,firearm expert determine las vegas shooter use bump stock actually prevent casualty injury inconsistency inaccuracy lack control
"""Underreported fact: President @realDonaldTrump raised more in small dollar donations than Obama in 2012 and than Clinton and Bernie combined!""",Kayleigh McEnany,1,2017-11-13,underreported fact president raise small dollar donation obama clinton bernie combine
"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",Ted Cruz,1,2017-11-10,felon fugitive lie illegally try purchase gun obama administration prosecute
"""The Democrats filibustered the legislation that would’ve resulted in this shooter being in federal prison instead of murdering those innocents in that Texas church.""",Ted Cruz,0,2017-11-10,democrats filibuster legislation result shooter federal prison instead murder innocent texas church
"Malia Obama was ""among 10 arrested in racist Antifa attack,"" and the cop who arrested her was ""found dead under suspicious circumstances.""",Bloggers,0,2017-11-10,malia obama arrest racist antifa attack cop arrest find dead suspicious circumstance
"""CPS students are learning and growing faster than 96 percent of students in the United States.""",Chicago Public Schools,1,2017-11-10,cps student learn grow fast percent student united states
"Since 1965, California has built ""six (college) campuses but 23 prisons.""",Delaine Eastin,0,2017-11-09,california build college campus prison
"""Supreme Court issues its first bench warrant ever.""",FreedomJunkshun.com,0,2017-11-09,supreme court issue bench warrant
"Says Roy Moore said a ""practicing Muslim should not be a member of Congress because of his faith.""",Jeff Flake,1,2017-11-09,roy moore practice muslim member congress faith
"The Republican tax bill ""lets every American keep more of what they earned.""",Kevin McCarthy,0,2017-11-09,republican tax bill let american earn
"""The Legislative Ethics Commission continues to function.""",Michael  Madigan,0,2017-11-09,legislative ethics commission continue function
"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",Adam Putnam,1,2017-11-08,job vacancy florida month seven year nurse
"Says the University of Florida ""requests to cancel rivalry game"" against Florida State University.",React365.com,0,2017-11-07,university florida request cancel rivalry game florida state university
"Chicago is ""the city with the strongest gun laws in our nation.""",Donald Trump,0,2017-11-07,chicago city strong gun law nation
"""Under the Tax Cuts and Jobs Act, the average American family of four will receive a $1,182 tax cut.""",Markwayne Mullin,1,2017-11-07,tax cuts jobs act average american family receive tax cut
"""There are no background checks on long guns (AR15s) in Texas.""",Alyssa Milano,0,2017-11-06,background check long gun texas
"""Texas Church shooter was Antifa and wanted to start (a) ‘communist revolution.’ """,YourNewsWire.com,0,2017-11-06,texas church shooter antifa want start communist revolution
"Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""",Patrick Morrisey,0,2017-11-06,evan jenkins position issue joe manchin support hillary clinton support cap trade support planned parenthood tax increase
"Says ""FBI and Texas State Police are both confirming that Raymond Peter Littleberry, the man accused of shooting up a Texas church, was an avid atheist on the payroll of the Democrat National Committee.""",FreedomJunkshun.com,0,2017-11-06,fbi texas state police confirm raymond peter littleberry man accuse shoot texas church avid atheist payroll democrat national committee
"The diversity visa lottery is ""plagued by fraud.""",David Perdue,1,2017-11-06,diversity visa lottery plague fraud
"Charles Francis ""vows to slash funding for parks and open space.""",Nancy McFarlane,0,2017-11-06,charles francis vow slash funding park open space
"""Coal production up 7.8% in past year. Down 31.5% last 10 years. #endingwaroncoal.""",Donald Trump,1,2017-11-06,coal production past year year endingwaroncoal
"Says Florida ""workers are paid $8.10 an hour, and our current governor (Rick Scott) runs ads bragging about it.""",Philip Levine,0,2017-11-06,florida worker pay hour current governor rick scott run ad brag
"""IDC members also get tons of campaign money from real estate, charter school, and health care lobbyists, some of whom are Republicans with connections to Trump""",The Creative Resistance,1,2017-11-05,idc member ton campaign money real estate charter school health care lobbyist republicans connection trump
"""Liberals in County Hall want our community to be a sanctuary county""",New York Republican State Committee,0,2017-11-03,liberal county hall want community sanctuary county
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",Michael Kearns,1,2017-11-03,i corruption sexual harassment cover i sheldon silver resign
"""We’re growing union jobs faster than Illinois.""",Eric Holcomb,1,2017-11-03,grow union job fast illinois
"Says Jake Tapper said Allahu Akbar was a ""beautiful phrase"" after a terrorist attack in New York.",Sebastian Gorka,0,2017-11-02,jake tapper allahu akbar beautiful phrase terrorist attack new york
