statement,veracity,light_normalization,full_normalization
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",0,"says wisconsin ""hadnt been won by a republican since dwight d. eisenhower, in 1952. and i won wisconsin. ...  ronald reagan, remember, wisconsin was the state that ronald reagan did not win.""",wisconsin win republican dwight eisenhower I win wisconsin ronald reagan remember wisconsin state ronald reagan win
"""Maxine Waters Is Getting Criminally Charged!""",0,"""maxine waters is getting criminally charged!""",maxine water getting criminally charge
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",0,"says ron desantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",ron desantis vote agricultural bill food stamp illegal immigrant
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",1,"says adam putnam ""endorsed the schumer-obama gang of eight immigration amnesty.""",adam putnam endorse schumer obama gang immigration amnesty
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",1,"""there isn't a system"" for reuniting families separated under trumps zero tolerance border policy.",system reunite family separate trump zero tolerance border policy
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",0,"say ""dunkin' donuts is providing a free dozen doughnut box to everyone! to celebrate 68th anniversary!""",dunkin donut provide free dozen doughnut box celebrate anniversary
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",0,"""burka clad woman runs over baby, gets away with crime for one stunning reason ...""",burka clothe woman run baby away crime stunning reason
"""NASA announced that it communicated with four races of aliens.""",0,"""nasa announced that it communicated with four races of aliens.""",nasa announce communicate race alien
"""Mexico’s Next President Calls for An Invasion Of The US""",0,"""mexicos next president calls for an invasion of the us""",mexico president invasion
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",1,"""migrant mother and crying girl on time cover never separated.""",migrant mother cry girl time cover separate
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",0,"says republican gubernatorial candidate adam laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",republican gubernatorial candidate adam laxalt try cut deal big pharma lawsuit
"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",0,"""obama administration kept illegal mexican kids in detention camps as experiment""",obama administration illegal mexican kid detention camp experiment
"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",0,"""fact: over 90,000 kids were detained under obama. and no one cared.""",fact kid detain obama care
"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",0,"""$1 billionthats how much bruce rauner has wasted with his budget crisis.""",billion bruce rauner waste budget crisis
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",1,"says donald trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",donald trump executive order address child separate parent change fact jail child family
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",0,"a chinese proverb says, ""those who say it can not be done, should not interrupt those doing it.""",chinese proverb interrupt
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",1,"""since taking office, we have enacted more than $8 billion in cumulative tax relief.""",office enact billion cumulative tax relief
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",0,"""bill clinton passed a law in 1996 that separated children from adults illegally entering america.""",bill clinton pass law separate child adult illegally enter america
"""Busted: Obama is holding secret meetings to overtake the White House""",0,"""busted: obama is holding secret meetings to overtake the white house""",bust obama hold secret meeting overtake white house
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",1,"""there's been a 1,700 percent increase in asylum claims over the last 10 years.""",percent increase asylum claim year
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",1,"""under emanuel, cps has become the most understaffed school district in illinois.""",emanuel cp understaffed school district illinois
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,1,says may 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,mark straight month global temperature exceed century average
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",0,"states with voter id laws have seen ""zero decrease"" in participation. ""most have seen an increase.""",state voter d law zero decrease participation increase
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",0,"says sen. tim kaine ""approves of and even applauds his son's participation in a known terrorist organization, #antifa.""",sen tim kaine approve applaud son participation know terrorist organization antifa
"""39% of All California Students are illegals.""",0,"""39% of all california students are illegals.""",california student illegal
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",0,"""more than 66% of all births in california are to illegals on medi-cal.""",birth california illegal medi cal
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",0,"""by law, democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools ... the current superintendent has failed to do that.""",law democrats superintendent public instruction ability fail school current superintendent fail
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",0,"says sen. bill nelson ""voted for higher taxes"" 349 times.",sen bill nelson vote high taxis time
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",0,"sen. kamala harris is ""supporting the animals of ms-13.""",sen kamala harris support animal
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",1,"says ronald reagan said immigrants ""brought with them courage and the values of family, work, and freedom. let us pledge to each other that we can make america great again.""",ronald reagan immigrant bring courage value family work freedom let pledge america great
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",0,"says democratic senators ""demand supreme court nominee not be unduly influenced by u.s. constitution.""",democratic senator demand supreme court nominee unduly influence constitution
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",0,"""tim kaine doesnt want a border at all. he wants to get rid of immigration and customs enforcement and basically the border patrol as well.""",tim kaine want border want rid immigration custom enforcement basically border patrol
"""George H.W. Bush has died at 94.""",0,"""george h.w. bush has died at 94.""",george bush die
"""The deficit ... is coming down, and it’s coming down rapidly.""",0,"""the deficit ... is coming down, and its coming down rapidly.""",deficit come come rapidly
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",0,"""watch those gdp numbers. we started off at a very low number, and right now we hit a 3.2 (percent). nobody thought that was possible.""",watch gdp number start low number right hit percent think possible
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",0,"""the european union ... they send us mercedes, they send us -- by the millions -- the bmws -- cars by the millions.""",european union send mercede send million bmw car million
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",0,"""clinton campaign official arrested by fbi on child rape/trafficking charges""",clinton campaign official arrest fbi child rape trafficking charge
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",0,"""our courts find that 80 percent of those who do file for asylum arent qualified for it, do not merit that relief.""",court find percent file asylum qualified merit relief
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",0,"says a progressive income tax proposal from democratic governor candidate j.b. pritzker ""is wholly regressive.""",progressive income tax proposal democratic governor candidate pritzker wholly regressive
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",0,"says wisconsin ""hadnt been won by a republican since dwight d. eisenhower, in 1952. and i won wisconsin. ...  ronald reagan, remember, wisconsin was the state that ronald reagan did not win.""",wisconsin win republican dwight eisenhower I win wisconsin ronald reagan remember wisconsin state ronald reagan win
"""Maxine Waters Is Getting Criminally Charged!""",0,"""maxine waters is getting criminally charged!""",maxine water getting criminally charge
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",0,"says ron desantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",ron desantis vote agricultural bill food stamp illegal immigrant
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",1,"says adam putnam ""endorsed the schumer-obama gang of eight immigration amnesty.""",adam putnam endorse schumer obama gang immigration amnesty
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",0,"says donald trump ""has not apologized"" for comments caught on tape by ""access hollywood.""",donald trump apologize comment catch tape access hollywood
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,0,"""the candidates controlled by madigan, all of them have said, the answer to our problems is a massive income tax hike. """,candidate control madigan answer problem massive income tax hike
"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",1,"""in missouri, there are still (fema) cases pending from floods that occurred in 2013.""",missouri fema case pende flood occur
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",0,"""update: van full of illegals caught voting at multiple alabama polling locations.""",update van illegal catch vote multiple alabama polling location
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",0,"""under trumps new tax plan ... 99.8% of americans"" get ""not one nickel"" in tax cuts.",trump new tax plan american nickel tax cut
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",0,"""even with full control of the house, senate and white house, republicans have still failed to deliver on their promise of higher wages for working families.""",control house senate white house republican fail deliver promise high wage work family
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",0,"""breaking: trump fires deputy attorney general rod rosenstein, raising questions over muellers fate.""",breaking trump fire deputy attorney general rod rosenstein raise question mueller fate
"A Colgate toothpaste is subject to ""recall.""",0,"a colgate toothpaste is subject to ""recall.""",colgate toothpaste subject recall
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",0,"""facebook picks sides in alabama senate race ... shuts down gateway pundit and breitbart reports on discredited allred accuser""",facebook pick alabama senate race shut gateway pundit breitbart report discredit allred accuser
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",0,"says ""obamas deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",obama deadly cover explosion kill miner uncover internal government document
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",0,"""black homeownership just hit the highest level it has ever been in the history of our country.""",black homeownership hit high level history country
"""Roy Moore’s accuser arrested and charged with falsification.""",0,"""roy moores accuser arrested and charged with falsification.""",roy moore accuser arrest charge falsification
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",0,"""breaking: woman says she was offered big money by washington post to accuse roy moore of misconduct.""",breaking woman offer big money washington post accuse roy moore misconduct
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",0,"says russian president vladimir putin got a standing ovation from the duma after he gave a speech saying muslims are ""taking over"" other countries but won't take over russia.",russian president vladimir putin stand ovation duma speech muslim country wo russia
"""I released way more (tax) information than Bruce Rauner has.""",0,"""i released way more (tax) information than bruce rauner has.""",I release way tax information bruce rauner
"""The FBI has become America's secret police …  like the old KGB.""",0,"""the fbi has become america's secret police ...  like the old kgb.""",fbi america secret police like old kgb
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",0,"""earlier this year, hurricane harvey left more than 12 million people in texas and louisiana without homes.""",early year hurricane harvey leave million people texas louisiana home
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,0,"""gloria allred accuser **admits** she tampered with roy moores yearbook 'signature.' """,gloria allred accuser admit tamper roy moore yearbook signature
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",0,"""bill clinton passed a law in 1996 that separated children from adults illegally entering america.""",bill clinton pass law separate child adult illegally enter america
"""Busted: Obama is holding secret meetings to overtake the White House""",0,"""busted: obama is holding secret meetings to overtake the white house""",bust obama hold secret meeting overtake white house
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",1,"""there's been a 1,700 percent increase in asylum claims over the last 10 years.""",percent increase asylum claim year
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",1,"""under emanuel, cps has become the most understaffed school district in illinois.""",emanuel cp understaffed school district illinois
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,1,says may 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,mark straight month global temperature exceed century average
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",0,"states with voter id laws have seen ""zero decrease"" in participation. ""most have seen an increase.""",state voter d law zero decrease participation increase
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",0,"says sen. tim kaine ""approves of and even applauds his son's participation in a known terrorist organization, #antifa.""",sen tim kaine approve applaud son participation know terrorist organization antifa
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",0,"""i have always condemned ... any of these white supremacists or bigots or anything like that.""",I condemn white supremacist bigot like
"Says the ""Pope calls for world wide gun confiscation except for the UN""",0,"says the ""pope calls for world wide gun confiscation except for the un""",pope world wide gun confiscation un
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",0,"the trump administrations policy of separating families is ""the same way barack obama did it.""",trump administration policy separate family way barack obama
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",0,"""theres actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",actually court order prevent kid parent parent jail
"""Crime in Germany is way up.""",0,"""crime in germany is way up.""",crime germany way
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",0,"""senate report admits clinton gifted children to human traffickers""",senate report admit clinton gifted child human trafficker
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",1,"""trump approval rating better than obama and reagan at same point in their presidencies.""",trump approval rating obama reagan point presidency
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",0,"says ""massive floods"" led to legionnaires disease outbreaks at the quincy veterans home.",massive flood lead legionnaire disease outbreak quincy veteran home
"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",1,"""of all the 62 counties in new york state, all of them, unemployment is going up except for the five counties of new york city.""",county new york state unemployment county new york city
"""The graduation rate in New York City has increased by 50 percent in 13 years""",1,"""the graduation rate in new york city has increased by 50 percent in 13 years""",graduation rate new york city increase percent year
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",0,"""first indictment issued in russian bribery case tied to obama-era uranium one deal.""",indictment issue russian bribery case tie obama era uranium deal
"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",1,"conservative groups have spent $5 million ""against"" tammy baldwin -- five times more than against all other democratic u.s. senate incumbents up for election in 2018 combined.",conservative group spend million tammy baldwin time democratic senate incumbent election combined
"""Oprah tells Fox News host ‘all white people have to die.’""",0,"""oprah tells fox news host all white people have to die.""",oprah tell fox news host white people die
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",0,"""almost half of all vehicles stolen in texas each year had keys left inside.""",half vehicle steal texas year key leave inside
"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",0,"says the obama administration ""sold perhaps the best located and finest embassy in london ... only to build a new one in an off location for 1.2 billion dollars.""",obama administration sell locate fine embassy london build new location billion dollar
"""Atlanta is on its strongest financial footing in 40 years.""",1,"""atlanta is on its strongest financial footing in 40 years.""",atlanta strong financial footing year
"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",1,"in 2011 under scott walker, wisconsin for the first time spent ""more on our prison system than we did"" on the university of wisconsin system.",scott walker wisconsin time spend prison system university wisconsin system
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",1,"the white house staff risks violating federal ethics rules if they participate in donald trumps ""fake news awards.""",white house staff risk violate federal ethic rule participate donald trump fake news award
"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",0,"""a gerrymander is by definition and common understanding, a strange looking monster drawing. this map is clearly not that.""",gerrymander definition common understanding strange look monster drawing map clearly
"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.",1,"says a ""recent analysis"" showed that 91 percent of deferred action for childhood arrivals (daca) recipients are employed, in school or serving in the military.",recent analysis percent deferred action childhood arrival daca recipient employ school serve military
"When President Barack Obama ""signed the executive order (on DACA, he) actually said he doesn't have the right to do this.""",0,"when president barack obama ""signed the executive order (on daca, he) actually said he doesn't have the right to do this.""",president barack obama sign executive order daca actually right
"""GDP is booming. Let’s spread the prosperity to the middle class with big #TaxCuts. Our #TaxReform package doubles standard deduction, brings $$$ back home, and reduces rates for ALL taxpayers. We will #MAGA.""",0,"""gdp is booming. lets spread the prosperity to the middle class with big #taxcuts. our #taxreform package doubles standard deduction, brings $$$ back home, and reduces rates for all taxpayers. we will #maga.""",gdp boom let spread prosperity middle class big taxcut taxreform package double standard deduction bring home reduce rate taxpayer maga
"Wisconsin's Lincoln Hills youth prison has a ""66 percent recidivism rate,"" while ""states like Missouri, that have more of a regional model -- 8 percent.""",0,"wisconsin's lincoln hills youth prison has a ""66 percent recidivism rate,"" while ""states like missouri, that have more of a regional model -- 8 percent.""",wisconsin lincoln hill youth prison percent recidivism rate state like missouri regional model percent
"""Only 20 percent of our current graduates from Texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",0,"""only 20 percent of our current graduates from texas high schools go ahead and achieve either a national certificate or a community college degree -- or a college degree.""",percent current graduate texas high school ahead achieve national certificate community college degree college degree
"""Breaking: federal judge grants permission to subpoena Trump.""",0,"""breaking: federal judge grants permission to subpoena trump.""",breaking federal judge grant permission subpoena trump
"""Tennessee GOP twitter taken down after tweet exposing Pelosi involved in pedophilia.""",0,"""tennessee gop twitter taken down after tweet exposing pelosi involved in pedophilia.""",tennessee gop twitter tweet expose pelosi involve pedophilia
"""Hillary Clinton lied many times to the FBI.""",0,"""hillary clinton lied many times to the fbi.""",hillary clinton lie time fbi
"""The violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",1,"""the violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",violent crime rate rise homicide rate rise percent year year decline violent crime
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,1,these guys are now pretty much living up to the @brucerauner standard. and falling dismally short of the @mittromney standard. even romney released his full tax returns.,guy pretty live standard fall dismally short standard romney release tax return
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",0,"says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group everytown for gun safety.""",perpetrator domestic violence account mass shooting accord advocacy group everytown gun safety
"""Simply being in this country without documentation is not a crime""",1,"""simply being in this country without documentation is not a crime""",simply country documentation crime
"""Prince Harry says Donald Trump is not welcome at his wedding: ‘Trump is a serious threat to human rights.’ """,0,"""prince harry says donald trump is not welcome at his wedding: trump is a serious threat to human rights. """,prince harry donald trump welcome wedding trump threat human right
"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.""",0,"says the tax bill ""is going to cost me a fortune, this thing -- believe me. believe me, this is not good for me.""",tax bill cost I fortune thing believe I believe I good I
"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",0,"""for years, they have not been able to get tax cuts -- many, many years, since reagan.""",year able tax cut year reagan
"""If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",0,"""if you don't pay income taxes ... you'll have more money"" under the republican tax plan.",pay income taxis money republican tax plan
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",0,"""saudi arabia to behead 6 school girls for being with their male friends without parents or a guardian""",saudi arabia behead school girl male friend parent guardian
"""Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian""",0,"""saudi arabia to behead 6 school girls for being with their male friends without parents or a guardian""",saudi arabia behead school girl male friend parent guardian
"Singer Tina Turner: ""This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.""",0,"singer tina turner: ""this thanksgiving is the first time in 8 years that i am thankful for our president, god bless him and his supporters.""",singer tina turner thanksgiving time year I thankful president god bless supporter
"Says Joe Scarborough is party to an ""unsolved mystery"" from his time as a congressman in Florida.",0,"says joe scarborough is party to an ""unsolved mystery"" from his time as a congressman in florida.",joe scarborough party unsolved mystery time congressman florida
"Wisconsin has ""the fastest-shrinking middle class in the country.""",0,"wisconsin has ""the fastest-shrinking middle class in the country.""",wisconsin fast shrink middle class country
"Says Alabama Senate candidate Doug Jones ""wants to raise taxes.""",0,"says alabama senate candidate doug jones ""wants to raise taxes.""",alabama senate candidate doug jones want raise taxis
"""Melania Trump: 'If ISIS Lays a finger on Barron, I’ll scratch Obama’s eyes out.' """,0,"""melania trump: 'if isis lays a finger on barron, ill scratch obamas eyes out.' """,melania trump isis lay finger barron I scratch obama eye
"Among states, Missouri ranks ""3rd (in) average yearly growth of high-tech industries.""",1,"among states, missouri ranks ""3rd (in) average yearly growth of high-tech industries.""",state missouri rank average yearly growth high tech industry
"""President Trump just saved Christmas for 13 million retirees.""",0,"""president trump just saved christmas for 13 million retirees.""",president trump save christmas million retiree
"""Southwest Airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",0,"""southwest airlines celebrating 50th anniversary by providing 2 free tickets to everyone!""",southwest airline celebrate anniversary provide free ticket
"""Satanists have teamed up with the ACLU and Planned Parenthood in Missouri to roll back the rights of the unborn.""",0,"""satanists have teamed up with the aclu and planned parenthood in missouri to roll back the rights of the unborn.""",satanist team aclu planned parenthood missouri roll right unborn
"Says Josh Hawley ""broke his promise to create a Public Corruption Unit to crack down on the pay-to-play culture of Jefferson City.""",0,"says josh hawley ""broke his promise to create a public corruption unit to crack down on the pay-to-play culture of jefferson city.""",josh hawley break promise create public corruption unit crack pay play culture jefferson city
"""Wisconsin's driver licenses and identification (ID) cards are currently the most secure in the nation.""",1,"""wisconsin's driver licenses and identification (id) cards are currently the most secure in the nation.""",wisconsin driver license identification d card currently secure nation
"The North Carolina bathroom bill ""was really never repealed.""",0,"the north carolina bathroom bill ""was really never repealed.""",north carolina bathroom bill repeal
"""Pope Francis at Mass: ‘Jesus is Metaphorical, Not Literal.""",0,"""pope francis at mass: jesus is metaphorical, not literal.""",pope francis mass jesus metaphorical literal
"""Civil war erupts in Sweden as irate Swedes burn nine Muslim refugee centers to the ground""",0,"""civil war erupts in sweden as irate swedes burn nine muslim refugee centers to the ground""",civil war erupt sweden irate swede burn muslim refugee center ground
"""‘The largest bust in U.S. history’ 412 Muslims arrested from Michigan!""",0,"""the largest bust in u.s. history 412 muslims arrested from michigan!""",large bust history muslim arrest michigan
"Says Doug Jones ""is for full-term abortion.""",0,"says doug jones ""is for full-term abortion.""",doug jones term abortion
"""The elimination of income and sales taxes in New York is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",0,"""the elimination of income and sales taxes in new york is equal to 9 percent of taxable income, meaning that if you make $100,000 a year you lose $9,000""",elimination income sale taxis new york equal percent taxable income mean year lose
"""2 million rounds of ammo that ‘went missing’ under Obama turns up in enemy hands""",0,"""2 million rounds of ammo that went missing under obama turns up in enemy hands""",million round ammo missing obama turn enemy hand
"""BUSTED: NASA Accidentally destroys every climate change advocate by exposing massive truth behind Antarctica.""",0,"""busted: nasa accidentally destroys every climate change advocate by exposing massive truth behind antarctica.""",bust nasa accidentally destroy climate change advocate expose massive truth antarctica
"""FBI Uniform Crime Report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",1,"""fbi uniform crime report for 2016 shows more than four times as many people were stabbed to death than were killed with rifles of any kind.""",fbi uniform crime report time people stab death kill rifle kind
"Says the Austin school district ""enjoys the highest per-student funding of all large Texas districts"" even after forwarding tax revenue to the state.",0,"says the austin school district ""enjoys the highest per-student funding of all large texas districts"" even after forwarding tax revenue to the state.",austin school district enjoy high student funding large texas district forward tax revenue state
"""Bump stocks are already illegal in the state of New York. You can't buy one.""",0,"""bump stocks are already illegal in the state of new york. you can't buy one.""",bump stock illegal state new york buy
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",1,"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",percent individual mandate tax fall year
"Iran’s regime ""every Friday declares war on us.""",0,"irans regime ""every friday declares war on us.""",iran regime friday declare war
"""The Texas unemployment rate is now the lowest it’s been in 40 years & Texas led the nation last month in new job creation.""",0,"""the texas unemployment rate is now the lowest its been in 40 years & texas led the nation last month in new job creation.""",texas unemployment rate low year texas lead nation month new job creation
Bowe Bergdahl wanders off during court-martial,0,bowe bergdahl wanders off during court-martial,bowe bergdahl wander court martial
"Californians pay ""the highest electricity bills"" in the nation.",0,"californians pay ""the highest electricity bills"" in the nation.",californian pay high electricity bill nation
"Says Chuck Todd said the Roy Moore story ""felt completely orchestrated.""",0,"says chuck todd said the roy moore story ""felt completely orchestrated.""",chuck todd roy moore story feel completely orchestrate
"BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",0,"breaking: rosa parks granddaughter slams racist democrats, endorses trump",break rosa park granddaughter slam racist democrat endorse trump
Donna Brazile knows Seth Rich was murdered by the Clintons,0,donna brazile knows seth rich was murdered by the clintons,donna brazile know seth rich murder clinton
